id,platform_id,plan_name,price_cny,period,quota_desc,models_included,source_url,notes,collected_at,effective_at,region,currency
144,57,Pro,262.7,monthly,credit池翻倍+更高优先级,Kling 3.0,https://app.klingai.com/global/membership,常用档 | 2026-08-22套餐复核◐出处已规范·数字未逐条核,2026-08-17,2026-08-17,国际,USD
145,57,低价入门,49.63,monthly,,Kling,https://app.klingai.com/global/membership,$6.99/月起 | 2026-08-22套餐复核◐出处已规范·数字未逐条核,2026-08-17,2026-08-17,国际,USD
146,6,海螺AI·国内版,0.0,monthly,每日100贝壳+10次生成,MiniMax H3,https://platform.minimaxi.com/document/price,完全免费(6/15核实) | 2026-08-22套餐复核◐出处已规范·数字未逐条核,2026-08-17,2026-08-17,国内,CNY
147,6,Hailuo AI·国际版,,monthly,首月35%off/首年25%off,Hailuo 02,https://platform.minimaxi.com/document/price,国际版订阅制，价未公开 | 2026-08-22套餐复核◐出处已规范·数字未逐条核,2026-08-17,2026-08-17,国际,CNY
148,1,API·国内人民币价,,monthly,峰谷定价,V4系列,https://platform.deepseek.com/,国内按人民币；海外按汇率折算 | 2026-08-22套餐复核◐出处已规范·数字未逐条核,2026-08-17,2026-08-17,国内,CNY
149,1,API·海外美元价,,monthly,高峰27元≈$3.8,V4系列,https://platform.deepseek.com/,仍只有Claude Fable 5($50)零头 | 2026-08-22套餐复核◐出处已规范·数字未逐条核,2026-08-17,2026-08-17,海外,CNY
150,54,Pro·国际版,20.0,monthly,ACU按量，每ACU $2.25,,https://www.marscode.cn/pricing,$20/月起按ACU计费 | 2026-08-22套餐复核◐出处已规范·数字未逐条核,2026-08-17,2026-08-17,国际,CNY
153,69,APIMaster聚合,,monthly,DeepSeek V4 Pro/Kimi K3/MiniMax M3/GLM-5.2 6折,多模型,https://deepbricks.ai/pricing,2026-07-20发布，限时6折 | 2026-08-22套餐复核◐出处已规范·数字未逐条核,2026-08-17,2026-08-17,,CNY
154,69,ofox聚合,,monthly,Claude/GPT/Gemini+Kimi/MiniMax/GLM/DeepSeek 一个Key,全模型,https://deepbricks.ai/pricing,OpenAI兼容协议 | 2026-08-22套餐复核◐出处已规范·数字未逐条核,2026-08-17,2026-08-17,,CNY
155,69,HolySheep直连,,monthly,Claude/GPT-5/Gemini/DeepSeek 一个Key无VPN,全模型,https://deepbricks.ai/pricing, | 2026-08-22套餐复核◐出处已规范·数字未逐条核,2026-08-17,2026-08-17,,CNY
156,24,免费档,0.0,monthly,每天100万tokens,Llama/DeepSeek/Qwen,n202, | 2026-08-22套餐复核◐出处已规范·数字未逐条核,2026-08-17,2026-08-17,,USD
157,83,Free,0.0,monthly,有限积分,,https://manus.im/pricing, | 2026-08-22套餐复核◐出处已规范·数字未逐条核,2026-08-17,2026-08-17,,USD
158,83,Pro(标准),142.0,monthly,积分制,,https://manus.im/pricing, | 2026-08-22套餐复核◐出处已规范·数字未逐条核,2026-08-17,2026-08-17,,USD
159,83,Pro(定制),284.0,monthly,,,https://manus.im/pricing, | 2026-08-22套餐复核◐出处已规范·数字未逐条核,2026-08-17,2026-08-17,,USD
160,83,Pro(扩展),1420.0,monthly,,,https://manus.im/pricing, | 2026-08-22套餐复核◐出处已规范·数字未逐条核,2026-08-17,2026-08-17,,USD
161,84,订阅起步,35.43,monthly,积分制，最高830万积分/月,GPT-5.5/Claude-Opus-4.7/Gemini/Veo-3.1,poe,5档起步$4.17/月；免费档2026-03削减至300积分 | 2026-08-22套餐复核◐出处已规范·数字未逐条核,2026-08-17,2026-08-17,,USD
162,13,AI Studio 免费档,0.0,monthly,Gemini 2.5 Flash Image 每日500张1024px,Gemini,https://one.google.com/about/google-ai-plans, | 2026-08-22套餐复核◐出处已规范·数字未逐条核,2026-08-17,2026-08-17,,USD
163,39,免费用户月额度,0.71,monthly,$0.10/月,200+模型,https://huggingface.co/pricing,官方：无加价直通provider | 2026-08-22套餐复核◐出处已规范·数字未逐条核,2026-08-17,2026-08-17,,USD
164,39,PRO用户月额度,14.2,monthly,$2/月,200+模型,https://huggingface.co/pricing,Team/Enterprise每席$2/月共享 | 2026-08-22套餐复核◐出处已规范·数字未逐条核,2026-08-17,2026-08-17,,USD
165,85,Free,,monthly,基础额度,,https://pika.art/pricing, | 2026-08-22套餐复核◐出处已规范·数字未逐条核,2026-08-17,2026-08-17,,USD
166,85,Standard,71.0,monthly,credits,Pika 2.5,https://pika.art/pricing,年付$8/月 | 2026-08-22套餐复核◐出处已规范·数字未逐条核,2026-08-17,2026-08-17,,USD
167,85,Pro,248.5,monthly,credits提升,Pika 2.5,https://pika.art/pricing, | 2026-08-22套餐复核◐出处已规范·数字未逐条核,2026-08-17,2026-08-17,,USD
168,85,Fancy,539.6,monthly,,Pika 2.5,https://pika.art/pricing,仅年付 | 2026-08-22套餐复核◐出处已规范·数字未逐条核,2026-08-17,2026-08-17,,USD
169,86,订阅制,,monthly,credits,Ray 2/3.2,luma,价未公开 | 2026-08-22套餐复核◐出处已规范·数字未逐条核,2026-08-17,2026-08-17,,USD
170,87,免费档,,monthly,无需VPN无需卡,,ideogram, | 2026-08-22套餐复核◐出处已规范·数字未逐条核,2026-08-17,2026-08-17,,USD
171,88,会员积分制,,monthly,积分，错峰无限,Vidu Q3,vidu,价未公开（会员积分制） | 2026-08-22套餐复核◐出处已规范·数字未逐条核,2026-08-17,2026-08-17,,USD
172,13,NotebookLM(Gemini Notebook),,monthly,免费工具,Gemini,https://one.google.com/about/google-ai-plans,2026-07更名 | 2026-08-22套餐复核◐出处已规范·数字未逐条核,2026-08-17,2026-08-17,,USD
173,89,Gemini Workspace Starter,49.7,monthly,,Gemini,https://cloud.google.com/vertex-ai/generative-ai/pricing,Google Workspace 集成 | 2026-08-22套餐复核◐出处已规范·数字未逐条核,2026-08-17,2026-08-17,,USD
174,89,Gemini Workspace Standard,99.4,monthly,,,https://cloud.google.com/vertex-ai/generative-ai/pricing, | 2026-08-22套餐复核◐出处已规范·数字未逐条核,2026-08-17,2026-08-17,,USD
175,89,Gemini Workspace Plus,156.2,monthly,,,https://cloud.google.com/vertex-ai/generative-ai/pricing, | 2026-08-22套餐复核◐出处已规范·数字未逐条核,2026-08-17,2026-08-17,,USD
176,90,免费API Key,,monthly,免费开始,Nova全系,amazon, | 2026-08-22套餐复核◐出处已规范·数字未逐条核,2026-08-17,2026-08-17,,USD
177,92,Free,,monthly,,,https://www.adobe.com/products/firefly/plans.html, | 2026-08-22套餐复核◐出处已规范·数字未逐条核,2026-08-17,2026-08-17,,USD
178,92,Standard,70.93,monthly,credits,,https://www.adobe.com/products/firefly/plans.html, | 2026-08-22套餐复核◐出处已规范·数字未逐条核,2026-08-17,2026-08-17,,USD
179,92,Pro,141.93,monthly,credits,,https://www.adobe.com/products/firefly/plans.html, | 2026-08-22套餐复核◐出处已规范·数字未逐条核,2026-08-17,2026-08-17,,USD
180,92,Premium,1419.93,monthly,,,https://www.adobe.com/products/firefly/plans.html, | 2026-08-22套餐复核◐出处已规范·数字未逐条核,2026-08-17,2026-08-17,,USD
181,13,Gemini Workspace Starter,49.7,monthly,,Gemini,https://one.google.com/about/google-ai-plans, | 2026-08-22套餐复核◐出处已规范·数字未逐条核,2026-08-17,2026-08-17,,USD
182,13,Gemini Workspace Standard,99.4,monthly,,,https://one.google.com/about/google-ai-plans, | 2026-08-22套餐复核◐出处已规范·数字未逐条核,2026-08-17,2026-08-17,,USD
183,13,Gemini Workspace Plus,156.2,monthly,,,https://one.google.com/about/google-ai-plans, | 2026-08-22套餐复核◐出处已规范·数字未逐条核,2026-08-17,2026-08-17,,USD
184,12,Claude Team Premium,710.0,monthly,"Premium席$100/席/月(年付,$125月付)=标准席5倍用量",同Team全模型;标准席5倍用量,https://claude.com/pricing, | 2026-08-22套餐复核✅新增(官方Team双席位),2026-08-22,2026-08-22,,USD
185,6,MiniMax 语音HD包一,630.0,monthly,¥700原价省10%；200万字符/T2A v2/RPM60/赠10克隆音色/1个月,T2A,https://platform.minimaxi.com/document/price,2026-08-22套餐复核✅官方页实抓,2026-08-22,2026-08-22,,CNY
186,6,MiniMax 语音HD包二,5950.0,monthly,¥7000省15%；2000万字符/RPM200/赠30音色/3个月,T2A,https://platform.minimaxi.com/document/price,2026-08-22套餐复核✅官方页实抓,2026-08-22,2026-08-22,,CNY
187,6,MiniMax 语音HD包三,56000.0,monthly,¥70000省20%；2亿字符/RPM500/赠300音色/1年,T2A,https://platform.minimaxi.com/document/price,2026-08-22套餐复核✅官方页实抓,2026-08-22,2026-08-22,,CNY
188,6,MiniMax 语音Turbo包一,360.0,monthly,¥400省10%；200万字符/Turbo系列/RPM60/1个月,T2A,https://platform.minimaxi.com/document/price,2026-08-22套餐复核✅官方页实抓,2026-08-22,2026-08-22,,CNY
189,6,MiniMax 语音Turbo包二,3400.0,monthly,¥4000省15%；2000万字符/RPM200/3个月,T2A,https://platform.minimaxi.com/document/price,2026-08-22套餐复核✅官方页实抓,2026-08-22,2026-08-22,,CNY
190,6,MiniMax 语音Turbo包三,32000.0,monthly,¥40000省20%；2亿字符/RPM500/1年,T2A,https://platform.minimaxi.com/document/price,2026-08-22套餐复核✅官方页实抓,2026-08-22,2026-08-22,,CNY
191,20,Copilot Pro,71.0,monthly,1500 AI Credits/月(Base1000+Flex500),Haiku4.5/Sonnet4.5/Sonnet4.6/Sonnet5/Gemini3.1Pro/Gemini3.5-3.7Flash/GPT-5mini/GPT-5.3-Codex/GPT-5.4/GPT-5.4mini,https://docs.github.com/en/copilot/get-started/plans,2026-08-22✅官方docs实核,2026-08-22,2026-08-22,,
192,20,Copilot Pro+,276.9,monthly,7000 AI Credits/月(3900+3100)；premium模型,Pro全部+Opus4.7/Opus4.8(含fast)/Opus5/Fable5/GPT-5.4nano,https://docs.github.com/en/copilot/get-started/plans,2026-08-22✅官方docs实核,2026-08-22,2026-08-22,,
193,20,Copilot Max,710.0,monthly,20000 AI Credits/月(10000+10000)；premium模型优先,同Pro+且premium模型优先接入;20000cr/月,https://docs.github.com/en/copilot/get-started/plans,2026-08-22✅官方docs实核,2026-08-22,2026-08-22,,
194,20,Copilot Business,134.9,monthly,1900 Credits/人/月；⚠️2026-04-22起新组织自助注册暂停,premium模型(Gemini/Opus4.7+/Fable5);1900cr/人,https://docs.github.com/en/copilot/get-started/plans,2026-08-22✅官方docs实核,2026-08-22,2026-08-22,,
195,20,Copilot Enterprise,276.9,monthly,3900 Credits/人/月；企业级能力,premium模型优先;3900cr/人,https://docs.github.com/en/copilot/get-started/plans,2026-08-22✅官方docs实核,2026-08-22,2026-08-22,,
196,20,Copilot Free,0.0,monthly,有限功能；2000补全/月；仅自动选模,仅自动选模;2000补全/月,https://docs.github.com/en/copilot/get-started/plans,2026-08-22✅官方docs实核,2026-08-22,2026-08-22,,
197,20,Copilot Student,0.0,monthly,认证学生免费,自动选模;不含第三方agent,https://docs.github.com/en/copilot/get-started/plans,2026-08-22✅官方docs实核,2026-08-22,2026-08-22,,
198,28,Teams Standard,284.0,monthly,$40/人/月；团队管理/SSO/Bugbot,,https://cursor.com/pricing,2026-08-22✅官方页实核,2026-08-22,2026-08-22,,
199,5,Kimi Code Moderato,134.9,monthly,$19/月(年付$15=$180)；周刷新额度；K3可用,Kimi K3(1M上下文),https://www.kimi.com/code,2026-08-22✅Firecrawl实抓,2026-08-22,2026-08-22,,
200,5,Kimi Code Allegretto,276.9,monthly,$39/月(年付$31=$372)；更高并发,Kimi K3(1M上下文),https://www.kimi.com/code,2026-08-22✅Firecrawl实抓,2026-08-22,2026-08-22,,
201,5,Kimi Code Allegro,702.9,monthly,$99/月(年付$79=$948),Kimi K3(1M上下文),https://www.kimi.com/code,2026-08-22✅Firecrawl实抓,2026-08-22,2026-08-22,,
202,5,Kimi Code Vivace,1412.9,monthly,$199/月(年付$159=$1908)；最高周额度,Kimi K3(1M上下文),https://www.kimi.com/code,2026-08-22✅Firecrawl实抓·新增档位,2026-08-22,2026-08-22,,
203,72,Google AI Plus,35.4,monthly,$4.99/月,Gemini应用级;基础Veo/Flow额度,https://one.google.com/about/google-ai-plans,2026-08-22✅Firecrawl实抓,2026-08-22,2026-08-22,,
204,72,Google AI Pro,141.9,monthly,$19.99/月;含5TB存储,Gemini 3.1 Pro/Flow/Veo更高额;Whisk;NotebookLM加成,https://one.google.com/about/google-ai-plans,2026-08-22✅Firecrawl实抓,2026-08-22,2026-08-22,,
205,72,Google AI Ultra 5x,709.9,monthly,$99.99/月;20TB起,全模型最高额;Veo 3;Project Mariner,https://one.google.com/about/google-ai-plans,2026-08-22✅Firecrawl实抓,2026-08-22,2026-08-22,,
206,72,Google AI Ultra 20x,1419.9,monthly,$199.99/月,全模型最高额;Veo 3;Project Mariner,https://one.google.com/about/google-ai-plans,2026-08-22✅Firecrawl实抓,2026-08-22,2026-08-22,,
207,61,Business,7029.0,monthly,6M credits/月,,https://elevenlabs.io/pricing,2026-08-22✅实抓·新增档位,2026-08-22,2026-08-22,,
208,57,Kling Standard,62.5,monthly,$8.8/月(首单再享7折),,https://app.klingai.com/global/membership,2026-08-22✅Firecrawl实抓(首购价体系),2026-08-22,2026-08-22,,
209,57,Kling Pro,231.2,monthly,$32.56/月(首单再享7折),,https://app.klingai.com/global/membership,2026-08-22✅Firecrawl实抓(首购价体系),2026-08-22,2026-08-22,,
210,57,Kling Premier,574.8,monthly,$80.96/月(首单再享7折),,https://app.klingai.com/global/membership,2026-08-22✅Firecrawl实抓(首购价体系),2026-08-22,2026-08-22,,
211,39,PRO,63.9,monthly,$9/月,,https://huggingface.co/pricing,2026-08-22✅Firecrawl实抓,2026-08-22,2026-08-22,,
212,41,Team,568.0,monthly,$80/月+$40/全职开发席;含Devin Desktop,各成员独立额度;Devin Desktop,https://windsurf.com/pricing,2026-08-22✅实抓·新增档位,2026-08-22,2026-08-22,,
