id,platform_id,model_name,context_window,notes,collected_at,region
260,2,qwen/qwen3-max-thinking,262144,Qwen: Qwen3 Max Thinking; created=1770671901; arch=text,2026-08-17,
261,2,anthropic/claude-opus-4.6,1000000,"Anthropic: Claude Opus 4.6; created=1770219050; arch=text,image,file",2026-08-17,
262,2,anthropic/claude-opus-4.6:batch,1000000,"Anthropic: Claude Opus 4.6 (batch); created=1770219050; arch=text,image,file",2026-08-17,
263,2,qwen/qwen3-coder-next,262144,Qwen: Qwen3 Coder Next; created=1770164101; arch=text,2026-08-17,
264,2,openrouter/free,200000,"Free Models Router; created=1769917427; arch=text,image",2026-08-17,
265,2,stepfun/step-3.5-flash,262144,StepFun: Step 3.5 Flash; created=1769728337; arch=text,2026-08-17,
266,2,moonshotai/kimi-k2.5,262144,"MoonshotAI: Kimi K2.5; created=1769487076; arch=text,image",2026-08-17,
267,2,upstage/solar-pro-3,131072,Upstage: Solar Pro 3; created=1769481200; arch=text,2026-08-17,
268,2,minimax/minimax-m2-her,65536,MiniMax: MiniMax M2-her; created=1769177239; arch=text,2026-08-17,
269,2,writer/palmyra-x5,1040000,Writer: Palmyra X5; created=1769003823; arch=text,2026-08-17,
270,2,openai/gpt-audio,128000,"OpenAI: GPT Audio; created=1768862569; arch=text,audio",2026-08-17,
271,2,openai/gpt-audio-mini,128000,"OpenAI: GPT Audio Mini; created=1768859419; arch=text,audio",2026-08-17,
272,2,z-ai/glm-4.7-flash,202752,Z.ai: GLM 4.7 Flash; created=1768833913; arch=text,2026-08-17,
273,2,openai/gpt-5.2-codex,400000,"OpenAI: GPT-5.2-Codex; created=1768409315; arch=text,image",2026-08-17,
274,2,bytedance-seed/seed-1.6-flash,262144,"ByteDance Seed: Seed 1.6 Flash; created=1766505011; arch=image,text,video",2026-08-17,
275,2,bytedance-seed/seed-1.6,262144,"ByteDance Seed: Seed 1.6; created=1766504997; arch=image,text,video",2026-08-17,
276,2,minimax/minimax-m2.1,204800,MiniMax: MiniMax M2.1; created=1766454997; arch=text,2026-08-17,
277,2,z-ai/glm-4.7,204800,Z.ai: GLM 4.7; created=1766378014; arch=text,2026-08-17,
278,2,google/gemini-3-flash-preview,1048576,"Google: Gemini 3 Flash Preview; created=1765987078; arch=text,image,file,audio,video",2026-08-17,
279,2,google/gemini-3-flash-preview:batch,1048576,"Google: Gemini 3 Flash Preview (batch); created=1765987078; arch=text,image,file,audio,video",2026-08-17,
280,2,nvidia/nemotron-3-nano-30b-a3b,262144,NVIDIA: Nemotron 3 Nano 30B A3B; created=1765731275; arch=text,2026-08-17,
281,2,nvidia/nemotron-3-nano-30b-a3b:free,256000,NVIDIA: Nemotron 3 Nano 30B A3B (free); created=1765731275; arch=text,2026-08-17,
282,2,openai/gpt-5.2-chat,128000,"OpenAI: GPT-5.2 Chat; created=1765389783; arch=file,image,text",2026-08-17,
283,2,openai/gpt-5.2-pro,400000,"OpenAI: GPT-5.2 Pro; created=1765389780; arch=image,text,file",2026-08-17,
284,2,openai/gpt-5.2-pro:batch,400000,"OpenAI: GPT-5.2 Pro (batch); created=1765389780; arch=image,text,file",2026-08-17,
285,2,openai/gpt-5.2,400000,"OpenAI: GPT-5.2; created=1765389775; arch=file,image,text",2026-08-17,
286,2,openai/gpt-5.2:batch,400000,"OpenAI: GPT-5.2 (batch); created=1765389775; arch=file,image,text",2026-08-17,
287,2,relace/relace-search,256000,Relace: Relace Search; created=1765213560; arch=text,2026-08-17,
288,2,z-ai/glm-4.6v,131072,"Z.ai: GLM 4.6V; created=1765207462; arch=image,text,video",2026-08-17,
289,2,openrouter/bodybuilder,128000,Body Builder (beta); created=1764903653; arch=text,2026-08-17,
290,2,openai/gpt-5.1-codex-max,400000,"OpenAI: GPT-5.1-Codex-Max; created=1764878934; arch=text,image",2026-08-17,
291,2,amazon/nova-2-lite-v1,1000000,"Amazon: Nova 2 Lite; created=1764696672; arch=text,image,video,file",2026-08-17,
292,2,mistralai/ministral-14b-2512,262144,"Mistral: Ministral 3 14B 2512; created=1764681735; arch=text,image",2026-08-17,
293,2,mistralai/ministral-8b-2512,262144,"Mistral: Ministral 3 8B 2512; created=1764681654; arch=text,image",2026-08-17,
294,2,mistralai/ministral-3b-2512,131072,"Mistral: Ministral 3 3B 2512; created=1764681560; arch=text,image",2026-08-17,
295,2,mistralai/mistral-large-2512,262144,"Mistral: Mistral Large 3 2512; created=1764624472; arch=text,image,file",2026-08-17,
296,2,deepseek/deepseek-v3.2,163840,DeepSeek: DeepSeek V3.2; created=1764594642; arch=text,2026-08-17,
297,2,anthropic/claude-opus-4.5,200000,"Anthropic: Claude Opus 4.5; created=1764010580; arch=file,image,text",2026-08-17,
298,2,anthropic/claude-opus-4.5:batch,200000,"Anthropic: Claude Opus 4.5 (batch); created=1764010580; arch=file,image,text",2026-08-17,
299,2,allenai/olmo-3-32b-think,65536,AllenAI: Olmo 3 32B Think; created=1763758276; arch=text,2026-08-17,
300,2,google/gemini-3-pro-image-preview,65536,"Google: Nano Banana Pro (Gemini 3 Pro Image Preview); created=1763653797; arch=image,text",2026-08-17,
301,2,deepcogito/cogito-v2.1-671b,128000,Deep Cogito: Cogito v2.1 671B; created=1763071233; arch=text,2026-08-17,
302,2,openai/gpt-5.1,400000,"OpenAI: GPT-5.1; created=1763060305; arch=image,text,file",2026-08-17,
303,2,openai/gpt-5.1:batch,400000,"OpenAI: GPT-5.1 (batch); created=1763060305; arch=image,text,file",2026-08-17,
304,2,openai/gpt-5.1-codex,400000,"OpenAI: GPT-5.1-Codex; created=1763060298; arch=text,image",2026-08-17,
305,2,openai/gpt-5.1-codex-mini,400000,"OpenAI: GPT-5.1-Codex-Mini; created=1763057820; arch=image,text",2026-08-17,
306,2,moonshotai/kimi-k2-thinking,262144,MoonshotAI: Kimi K2 Thinking; created=1762440622; arch=text,2026-08-17,
307,2,amazon/nova-premier-v1,1000000,"Amazon: Nova Premier 1.0; created=1761950332; arch=text,image",2026-08-17,
308,2,perplexity/sonar-pro-search,200000,"Perplexity: Sonar Pro Search; created=1761854366; arch=text,image",2026-08-17,
309,2,mistralai/voxtral-small-24b-2507,32000,"Mistral: Voxtral Small 24B 2507; created=1761835144; arch=text,audio,file",2026-08-17,
310,2,openai/gpt-oss-safeguard-20b,131072,OpenAI: gpt-oss-safeguard-20b; created=1761752836; arch=text,2026-08-17,
311,2,nvidia/nemotron-nano-12b-v2-vl:free,128000,"NVIDIA: Nemotron Nano 12B 2 VL (free); created=1761675565; arch=image,text,video",2026-08-17,
312,2,minimax/minimax-m2,204800,MiniMax: MiniMax M2; created=1761252093; arch=text,2026-08-17,
313,2,qwen/qwen3-vl-32b-instruct,131072,"Qwen: Qwen3 VL 32B Instruct; created=1761231332; arch=text,image",2026-08-17,
314,2,ibm-granite/granite-4.0-h-micro,131000,IBM: Granite 4.0 Micro; created=1760927695; arch=text,2026-08-17,
315,2,openai/gpt-5-image-mini,400000,"OpenAI: GPT-5 Image Mini; created=1760624583; arch=file,image,text",2026-08-17,
316,2,anthropic/claude-haiku-4.5,200000,"Anthropic: Claude Haiku 4.5; created=1760547638; arch=text,image,file",2026-08-17,
317,2,anthropic/claude-haiku-4.5:batch,200000,"Anthropic: Claude Haiku 4.5 (batch); created=1760547638; arch=text,image,file",2026-08-17,
318,2,qwen/qwen3-vl-8b-thinking,131072,"Qwen: Qwen3 VL 8B Thinking; created=1760463746; arch=image,text",2026-08-17,
319,2,qwen/qwen3-vl-8b-instruct,262144,"Qwen: Qwen3 VL 8B Instruct; created=1760463308; arch=image,text",2026-08-17,
320,2,openai/gpt-5-image,400000,"OpenAI: GPT-5 Image; created=1760447986; arch=image,text,file",2026-08-17,
321,2,google/gemini-2.5-flash-image,32768,"Google: Nano Banana (Gemini 2.5 Flash Image); created=1759870431; arch=image,text",2026-08-17,
322,2,qwen/qwen3-vl-30b-a3b-thinking,262144,"Qwen: Qwen3 VL 30B A3B Thinking; created=1759794479; arch=text,image",2026-08-17,
323,2,qwen/qwen3-vl-30b-a3b-instruct,262144,"Qwen: Qwen3 VL 30B A3B Instruct; created=1759794476; arch=text,image",2026-08-17,
324,2,openai/gpt-5-pro,400000,"OpenAI: GPT-5 Pro; created=1759776663; arch=image,text,file",2026-08-17,
325,2,openai/gpt-5-pro:batch,400000,"OpenAI: GPT-5 Pro (batch); created=1759776663; arch=image,text,file",2026-08-17,
326,2,z-ai/glm-4.6,204800,Z.ai: GLM 4.6; created=1759235576; arch=text,2026-08-17,
327,2,anthropic/claude-sonnet-4.5,1000000,"Anthropic: Claude Sonnet 4.5; created=1759161676; arch=text,image,file",2026-08-17,
328,2,anthropic/claude-sonnet-4.5:batch,1000000,"Anthropic: Claude Sonnet 4.5 (batch); created=1759161676; arch=text,image,file",2026-08-17,
329,2,deepseek/deepseek-v3.2-exp,163840,DeepSeek: DeepSeek V3.2 Exp; created=1759150481; arch=text,2026-08-17,
330,2,thedrummer/cydonia-24b-v4.1,131072,TheDrummer: Cydonia 24B V4.1; created=1758931878; arch=text,2026-08-17,
331,2,relace/relace-apply-3,256000,Relace: Relace Apply 3; created=1758891572; arch=text,2026-08-17,
332,2,qwen/qwen3-vl-235b-a22b-thinking,131072,"Qwen: Qwen3 VL 235B A22B Thinking; created=1758668690; arch=text,image",2026-08-17,
333,2,qwen/qwen3-vl-235b-a22b-instruct,262144,"Qwen: Qwen3 VL 235B A22B Instruct; created=1758668687; arch=text,image",2026-08-17,
334,2,qwen/qwen3-max,262144,Qwen: Qwen3 Max; created=1758662808; arch=text,2026-08-17,
335,2,qwen/qwen3-coder-plus,1000000,Qwen: Qwen3 Coder Plus; created=1758662707; arch=text,2026-08-17,
336,2,openai/gpt-5-codex:batch,400000,"OpenAI: GPT-5 Codex (batch); created=1758643403; arch=text,image",2026-08-17,
337,2,deepseek/deepseek-v3.1-terminus,163840,DeepSeek: DeepSeek V3.1 Terminus; created=1758548275; arch=text,2026-08-17,
338,2,qwen/qwen3-coder-flash,1000000,Qwen: Qwen3 Coder Flash; created=1758115536; arch=text,2026-08-17,
339,2,qwen/qwen3-next-80b-a3b-thinking,262144,Qwen: Qwen3 Next 80B A3B Thinking; created=1757612284; arch=text,2026-08-17,
340,2,qwen/qwen3-next-80b-a3b-instruct,262144,Qwen: Qwen3 Next 80B A3B Instruct; created=1757612213; arch=text,2026-08-17,
341,2,qwen/qwen-plus-2025-07-28,1000000,Qwen: Qwen Plus 0728; created=1757347599; arch=text,2026-08-17,
342,2,qwen/qwen-plus-2025-07-28:thinking,1000000,Qwen: Qwen Plus 0728 (thinking); created=1757347599; arch=text,2026-08-17,
343,2,nvidia/nemotron-nano-9b-v2:free,128000,NVIDIA: Nemotron Nano 9B V2 (free); created=1757106807; arch=text,2026-08-17,
344,2,moonshotai/kimi-k2-0905,262144,MoonshotAI: Kimi K2 0905; created=1757021147; arch=text,2026-08-17,
345,2,qwen/qwen3-30b-a3b-thinking-2507,81920,Qwen: Qwen3 30B A3B Thinking 2507; created=1756399192; arch=text,2026-08-17,
346,2,nousresearch/hermes-4-70b,131072,Nous: Hermes 4 70B; created=1756236182; arch=text,2026-08-17,
347,2,nousresearch/hermes-4-405b,131072,Nous: Hermes 4 405B; created=1756235463; arch=text,2026-08-17,
348,2,deepseek/deepseek-chat-v3.1,163840,DeepSeek: DeepSeek V3.1; created=1755779628; arch=text,2026-08-17,
349,2,mistralai/mistral-medium-3.1,131072,"Mistral: Mistral Medium 3.1; created=1755095639; arch=text,image,file",2026-08-17,
350,2,z-ai/glm-4.5v,65536,"Z.ai: GLM 4.5V; created=1754922288; arch=text,image",2026-08-17,
351,2,ai21/jamba-large-1.7,256000,AI21: Jamba Large 1.7; created=1754669020; arch=text,2026-08-17,
352,2,openai/gpt-5,400000,"OpenAI: GPT-5; created=1754587413; arch=text,image,file",2026-08-17,
353,2,openai/gpt-5:batch,400000,"OpenAI: GPT-5 (batch); created=1754587413; arch=text,image,file",2026-08-17,
354,2,openai/gpt-5-mini,400000,"OpenAI: GPT-5 Mini; created=1754587407; arch=text,image,file",2026-08-17,
355,2,openai/gpt-5-mini:batch,400000,"OpenAI: GPT-5 Mini (batch); created=1754587407; arch=text,image,file",2026-08-17,
356,2,openai/gpt-5-nano,400000,"OpenAI: GPT-5 Nano; created=1754587402; arch=text,image,file",2026-08-17,
357,2,openai/gpt-5-nano:batch,400000,"OpenAI: GPT-5 Nano (batch); created=1754587402; arch=text,image,file",2026-08-17,
358,2,openai/gpt-oss-120b,131072,OpenAI: gpt-oss-120b; created=1754414231; arch=text,2026-08-17,
359,2,openai/gpt-oss-20b,131072,OpenAI: gpt-oss-20b; created=1754414229; arch=text,2026-08-17,
360,2,openai/gpt-oss-20b:free,131072,OpenAI: gpt-oss-20b (free); created=1754414229; arch=text,2026-08-17,
361,2,anthropic/claude-opus-4.1,200000,"Anthropic: Claude Opus 4.1; created=1754411591; arch=image,text,file",2026-08-17,
362,2,anthropic/claude-opus-4.1:batch,200000,"Anthropic: Claude Opus 4.1 (batch); created=1754411591; arch=image,text,file",2026-08-17,
363,2,mistralai/codestral-2508,256000,"Mistral: Codestral 2508; created=1754079630; arch=text,file",2026-08-17,
364,2,qwen/qwen3-coder-30b-a3b-instruct,262144,Qwen: Qwen3 Coder 30B A3B Instruct; created=1753972379; arch=text,2026-08-17,
365,2,qwen/qwen3-30b-a3b-instruct-2507,262144,Qwen: Qwen3 30B A3B Instruct 2507; created=1753806965; arch=text,2026-08-17,
366,2,z-ai/glm-4.5,131072,Z.ai: GLM 4.5; created=1753471347; arch=text,2026-08-17,
367,2,z-ai/glm-4.5-air,131072,Z.ai: GLM 4.5 Air; created=1753471258; arch=text,2026-08-17,
368,2,qwen/qwen3-235b-a22b-thinking-2507,262144,Qwen: Qwen3 235B A22B Thinking 2507; created=1753449557; arch=text,2026-08-17,
369,2,qwen/qwen3-coder,262144,Qwen: Qwen3 Coder 480B A35B; created=1753230546; arch=text,2026-08-17,
370,2,bytedance/ui-tars-1.5-7b,128000,"ByteDance: UI-TARS 7B ; created=1753205056; arch=image,text",2026-08-17,
371,2,google/gemini-2.5-flash-lite,1048576,"Google: Gemini 2.5 Flash Lite; created=1753200276; arch=text,image,file,audio,video",2026-08-17,
372,2,google/gemini-2.5-flash-lite:batch,1048576,"Google: Gemini 2.5 Flash Lite (batch); created=1753200276; arch=text,image,file,audio,video",2026-08-17,
373,2,qwen/qwen3-235b-a22b-2507,262144,Qwen: Qwen3 235B A22B Instruct 2507; created=1753119555; arch=text,2026-08-17,
374,2,moonshotai/kimi-k2,131072,MoonshotAI: Kimi K2 0711; created=1752263252; arch=text,2026-08-17,
375,2,cognitivecomputations/dolphin-mistral-24b-venice-edition,128000,Venice: Uncensored; created=1752094966; arch=text,2026-08-17,
376,2,tencent/hunyuan-a13b-instruct,131072,Tencent: Hunyuan A13B Instruct; created=1751987664; arch=text,2026-08-17,
377,2,morph/morph-v3-large,262144,Morph: Morph V3 Large; created=1751910858; arch=text,2026-08-17,
378,2,morph/morph-v3-fast,81920,Morph: Morph V3 Fast; created=1751910002; arch=text,2026-08-17,
379,2,baidu/ernie-4.5-vl-424b-a47b,123000,"Baidu: ERNIE 4.5 VL 424B A47B ; created=1751300903; arch=image,text",2026-08-17,
380,2,mistralai/mistral-small-3.2-24b-instruct,256000,"Mistral: Mistral Small 3.2 24B; created=1750443016; arch=image,text",2026-08-17,
381,2,minimax/minimax-m1,1000000,MiniMax: MiniMax M1; created=1750200414; arch=text,2026-08-17,
382,2,google/gemini-2.5-flash,1048576,"Google: Gemini 2.5 Flash; created=1750172488; arch=file,image,text,audio,video",2026-08-17,
383,2,google/gemini-2.5-flash:batch,1048576,"Google: Gemini 2.5 Flash (batch); created=1750172488; arch=file,image,text,audio,video",2026-08-17,
384,2,google/gemini-2.5-pro,1048576,"Google: Gemini 2.5 Pro; created=1750169544; arch=text,image,file,audio,video",2026-08-17,
385,2,google/gemini-2.5-pro:batch,1048576,"Google: Gemini 2.5 Pro (batch); created=1750169544; arch=text,image,file,audio,video",2026-08-17,
386,2,openai/o3-pro,200000,"OpenAI: o3 Pro; created=1749598352; arch=text,file,image",2026-08-17,
387,2,openai/o3-pro:batch,200000,"OpenAI: o3 Pro (batch); created=1749598352; arch=text,file,image",2026-08-17,
388,2,google/gemini-2.5-pro-preview,1048576,"Google: Gemini 2.5 Pro Preview 06-05; created=1749137257; arch=file,image,text,audio",2026-08-17,
389,2,deepseek/deepseek-r1-0528,163840,DeepSeek: R1 0528; created=1748455170; arch=text,2026-08-17,
390,2,anthropic/claude-opus-4,200000,"Anthropic: Claude Opus 4; created=1747931245; arch=image,text,file",2026-08-17,
391,2,anthropic/claude-sonnet-4,1000000,"Anthropic: Claude Sonnet 4; created=1747930371; arch=image,text,file",2026-08-17,
392,2,google/gemma-3n-e4b-it,32768,Google: Gemma 3n 4B; created=1747776824; arch=text,2026-08-17,
393,2,mistralai/mistral-medium-3,131072,"Mistral: Mistral Medium 3; created=1746627341; arch=text,image,file",2026-08-17,
394,2,google/gemini-2.5-pro-preview-05-06,1048576,"Google: Gemini 2.5 Pro Preview 05-06; created=1746578513; arch=text,image,file,audio,video",2026-08-17,
395,2,arcee-ai/virtuoso-large,131072,Arcee AI: Virtuoso Large; created=1746478885; arch=text,2026-08-17,
396,2,meta-llama/llama-guard-4-12b,1048576,"Meta: Llama Guard 4 12B; created=1745975193; arch=image,text",2026-08-17,
397,2,qwen/qwen3-30b-a3b,131072,Qwen: Qwen3 30B A3B; created=1745878604; arch=text,2026-08-17,
398,2,qwen/qwen3-8b,131072,Qwen: Qwen3 8B; created=1745876632; arch=text,2026-08-17,
399,2,qwen/qwen3-14b,131072,Qwen: Qwen3 14B; created=1745876478; arch=text,2026-08-17,
400,2,qwen/qwen3-32b,131072,Qwen: Qwen3 32B; created=1745875945; arch=text,2026-08-17,
401,2,qwen/qwen3-235b-a22b,131072,Qwen: Qwen3 235B A22B; created=1745875757; arch=text,2026-08-17,
402,2,openai/o4-mini-high,200000,"OpenAI: o4 Mini High; created=1744824212; arch=image,text,file",2026-08-17,
403,2,openai/o4-mini-high:batch,200000,"OpenAI: o4 Mini High (batch); created=1744824212; arch=image,text,file",2026-08-17,
404,2,openai/o3,200000,"OpenAI: o3; created=1744823457; arch=image,text,file",2026-08-17,
405,2,openai/o3:batch,200000,"OpenAI: o3 (batch); created=1744823457; arch=image,text,file",2026-08-17,
406,2,openai/o4-mini,200000,"OpenAI: o4 Mini; created=1744820942; arch=image,text,file",2026-08-17,
407,2,openai/o4-mini:batch,200000,"OpenAI: o4 Mini (batch); created=1744820942; arch=image,text,file",2026-08-17,
408,2,openai/gpt-4.1,1047576,"OpenAI: GPT-4.1; created=1744651385; arch=image,text,file",2026-08-17,
409,2,openai/gpt-4.1:batch,1047576,"OpenAI: GPT-4.1 (batch); created=1744651385; arch=image,text,file",2026-08-17,
410,2,openai/gpt-4.1-mini,1047576,"OpenAI: GPT-4.1 Mini; created=1744651381; arch=image,text,file",2026-08-17,
411,2,openai/gpt-4.1-mini:batch,1047576,"OpenAI: GPT-4.1 Mini (batch); created=1744651381; arch=image,text,file",2026-08-17,
412,2,openai/gpt-4.1-nano,1047576,"OpenAI: GPT-4.1 Nano; created=1744651369; arch=image,text,file",2026-08-17,
413,2,openai/gpt-4.1-nano:batch,1047576,"OpenAI: GPT-4.1 Nano (batch); created=1744651369; arch=image,text,file",2026-08-17,
414,2,meta-llama/llama-4-maverick,1048576,"Meta: Llama 4 Maverick; created=1743881822; arch=text,image",2026-08-17,
415,2,meta-llama/llama-4-scout,1310720,"Meta: Llama 4 Scout; created=1743881519; arch=text,image",2026-08-17,
416,2,deepseek/deepseek-chat-v3-0324,163840,DeepSeek: DeepSeek V3 0324; created=1742824755; arch=text,2026-08-17,
417,2,openai/o1-pro,200000,"OpenAI: o1-pro; created=1742423211; arch=text,image,file",2026-08-17,
418,2,openai/o1-pro:batch,200000,"OpenAI: o1-pro (batch); created=1742423211; arch=text,image,file",2026-08-17,
419,2,mistralai/mistral-small-3.1-24b-instruct,128000,"Mistral: Mistral Small 3.1 24B; created=1742238937; arch=text,image",2026-08-17,
420,2,google/gemma-3-4b-it,131072,"Google: Gemma 3 4B; created=1741905510; arch=text,image",2026-08-17,
421,2,google/gemma-3-12b-it,131072,"Google: Gemma 3 12B; created=1741902625; arch=text,image",2026-08-17,
422,2,cohere/command-a,256000,Cohere: Command A; created=1741894342; arch=text,2026-08-17,
423,2,rekaai/reka-flash-3,65536,Reka Flash 3; created=1741812813; arch=text,2026-08-17,
424,2,google/gemma-3-27b-it,262144,"Google: Gemma 3 27B; created=1741756359; arch=text,image",2026-08-17,
425,2,thedrummer/skyfall-36b-v2,32768,TheDrummer: Skyfall 36B V2; created=1741636566; arch=text,2026-08-17,
426,2,perplexity/sonar-reasoning-pro,128000,"Perplexity: Sonar Reasoning Pro; created=1741313308; arch=text,image",2026-08-17,
427,2,perplexity/sonar-pro,200000,"Perplexity: Sonar Pro; created=1741312423; arch=text,image",2026-08-17,
428,2,perplexity/sonar-deep-research,128000,Perplexity: Sonar Deep Research; created=1741311246; arch=text,2026-08-17,
429,2,mistralai/mistral-saba,32768,"Mistral: Saba; created=1739803239; arch=text,file",2026-08-17,
430,2,openai/o3-mini-high,200000,"OpenAI: o3 Mini High; created=1739372611; arch=text,file",2026-08-17,
431,2,openai/o3-mini-high:batch,200000,"OpenAI: o3 Mini High (batch); created=1739372611; arch=text,file",2026-08-17,
432,2,aion-labs/aion-rp-llama-3.1-8b,32768,AionLabs: Aion-RP 1.0 (8B); created=1738696718; arch=text,2026-08-17,
433,2,qwen/qwen2.5-vl-72b-instruct,128000,"Qwen: Qwen2.5 VL 72B Instruct; created=1738410311; arch=text,image",2026-08-17,
434,2,qwen/qwen-plus,1000000,Qwen: Qwen-Plus; created=1738409840; arch=text,2026-08-17,
435,2,openai/o3-mini,200000,"OpenAI: o3 Mini; created=1738351721; arch=text,file",2026-08-17,
436,2,openai/o3-mini:batch,200000,"OpenAI: o3 Mini (batch); created=1738351721; arch=text,file",2026-08-17,
437,2,mistralai/mistral-small-24b-instruct-2501,32768,Mistral: Mistral Small 3; created=1738255409; arch=text,2026-08-17,
438,2,perplexity/sonar,127072,"Perplexity: Sonar; created=1738013808; arch=text,image",2026-08-17,
439,2,deepseek/deepseek-r1-distill-llama-70b,8192,DeepSeek: R1 Distill Llama 70B; created=1737663169; arch=text,2026-08-17,
440,2,deepseek/deepseek-r1,64000,DeepSeek: R1; created=1737381095; arch=text,2026-08-17,
441,2,minimax/minimax-01,1000192,"MiniMax: MiniMax-01; created=1736915462; arch=text,image",2026-08-17,
442,2,microsoft/phi-4,16384,Microsoft: Phi 4; created=1736489872; arch=text,2026-08-17,
443,2,deepseek/deepseek-chat,163840,DeepSeek: DeepSeek V3; created=1735241320; arch=text,2026-08-17,
444,2,sao10k/l3.3-euryale-70b,131072,Sao10K: Llama 3.3 Euryale 70B; created=1734535928; arch=text,2026-08-17,
445,2,openai/o1,200000,"OpenAI: o1; created=1734459999; arch=text,image,file",2026-08-17,
446,2,openai/o1:batch,200000,"OpenAI: o1 (batch); created=1734459999; arch=text,image,file",2026-08-17,
447,2,cohere/command-r7b-12-2024,128000,Cohere: Command R7B (12-2024); created=1734158152; arch=text,2026-08-17,
448,2,meta-llama/llama-3.3-70b-instruct,131072,Meta: Llama 3.3 70B Instruct; created=1733506137; arch=text,2026-08-17,
449,2,amazon/nova-lite-v1,300000,"Amazon: Nova Lite 1.0; created=1733437363; arch=text,image",2026-08-17,
450,2,amazon/nova-micro-v1,128000,Amazon: Nova Micro 1.0; created=1733437237; arch=text,2026-08-17,
451,2,amazon/nova-pro-v1,300000,"Amazon: Nova Pro 1.0; created=1733436303; arch=text,image",2026-08-17,
452,2,openai/gpt-4o-2024-11-20,128000,"OpenAI: GPT-4o (2024-11-20); created=1732127594; arch=text,image,file",2026-08-17,
453,2,mistralai/mistral-large-2407,131072,"Mistral Large 2407; created=1731978415; arch=text,file",2026-08-17,
454,2,qwen/qwen-2.5-coder-32b-instruct,32768,Qwen2.5 Coder 32B Instruct; created=1731368400; arch=text,2026-08-17,
455,2,thedrummer/unslopnemo-12b,1024000,TheDrummer: UnslopNemo 12B; created=1731103448; arch=text,2026-08-17,
456,2,anthracite-org/magnum-v4-72b,32768,Magnum v4 72B; created=1729555200; arch=text,2026-08-17,
457,2,qwen/qwen-2.5-7b-instruct,32768,Qwen: Qwen2.5 7B Instruct; created=1729036800; arch=text,2026-08-17,
458,2,thedrummer/rocinante-12b,65536,TheDrummer: Rocinante 12B; created=1727654400; arch=text,2026-08-17,
459,2,meta-llama/llama-3.2-1b-instruct,60000,Meta: Llama 3.2 1B Instruct; created=1727222400; arch=text,2026-08-17,
460,2,meta-llama/llama-3.2-3b-instruct,131072,Meta: Llama 3.2 3B Instruct; created=1727222400; arch=text,2026-08-17,
461,2,qwen/qwen-2.5-72b-instruct,32768,Qwen2.5 72B Instruct; created=1726704000; arch=text,2026-08-17,
462,2,cohere/command-r-08-2024,128000,Cohere: Command R (08-2024); created=1724976000; arch=text,2026-08-17,
463,2,cohere/command-r-plus-08-2024,128000,Cohere: Command R+ (08-2024); created=1724976000; arch=text,2026-08-17,
464,2,sao10k/l3.1-euryale-70b,131072,Sao10K: Llama 3.1 Euryale 70B v2.2; created=1724803200; arch=text,2026-08-17,
465,2,nousresearch/hermes-3-llama-3.1-70b,131072,Nous: Hermes 3 70B Instruct; created=1723939200; arch=text,2026-08-17,
466,2,nousresearch/hermes-3-llama-3.1-405b,131072,Nous: Hermes 3 405B Instruct; created=1723766400; arch=text,2026-08-17,
467,2,sao10k/l3-lunaris-8b,8192,Sao10K: Llama 3 8B Lunaris; created=1723507200; arch=text,2026-08-17,
468,2,openai/gpt-4o-2024-08-06,128000,"OpenAI: GPT-4o (2024-08-06); created=1722902400; arch=text,image,file",2026-08-17,
469,2,meta-llama/llama-3.1-70b-instruct,131072,Meta: Llama 3.1 70B Instruct; created=1721692800; arch=text,2026-08-17,
470,2,meta-llama/llama-3.1-8b-instruct,131072,Meta: Llama 3.1 8B Instruct; created=1721692800; arch=text,2026-08-17,
471,2,mistralai/mistral-nemo,131072,Mistral: Mistral Nemo; created=1721347200; arch=text,2026-08-17,
472,2,openai/gpt-4o-mini,128000,"OpenAI: GPT-4o-mini; created=1721260800; arch=text,image,file",2026-08-17,
473,2,openai/gpt-4o-mini-2024-07-18,128000,"OpenAI: GPT-4o-mini (2024-07-18); created=1721260800; arch=text,image,file",2026-08-17,
474,2,openai/gpt-4o-mini:batch,128000,"OpenAI: GPT-4o-mini (batch); created=1721260800; arch=text,image,file",2026-08-17,
475,2,google/gemma-2-27b-it,8192,Google: Gemma 2 27B; created=1720828800; arch=text,2026-08-17,
476,2,openai/gpt-4o,128000,"OpenAI: GPT-4o; created=1715558400; arch=text,image,file",2026-08-17,
477,2,openai/gpt-4o-2024-05-13,128000,"OpenAI: GPT-4o (2024-05-13); created=1715558400; arch=text,image,file",2026-08-17,
478,2,openai/gpt-4o:batch,128000,"OpenAI: GPT-4o (batch); created=1715558400; arch=text,image,file",2026-08-17,
479,2,mistralai/mixtral-8x22b-instruct,65536,"Mistral: Mixtral 8x22B Instruct; created=1713312000; arch=text,file",2026-08-17,
480,2,microsoft/wizardlm-2-8x22b,65535,WizardLM-2 8x22B; created=1713225600; arch=text,2026-08-17,
481,2,openai/gpt-4-turbo,128000,"OpenAI: GPT-4 Turbo; created=1712620800; arch=text,image",2026-08-17,
482,2,openai/gpt-4-turbo:batch,128000,"OpenAI: GPT-4 Turbo (batch); created=1712620800; arch=text,image",2026-08-17,
483,2,anthropic/claude-3-haiku,200000,"Anthropic: Claude 3 Haiku; created=1710288000; arch=text,image",2026-08-17,
